temp,bpm,red,adc,med,trig,max,min
28.812502,3628.381014,9576,8368,8360,0,8384,8352
28.687501,3628.381014,9600,8384,8368,0,8384,8352
28.812502,3628.381014,9608,8384,8368,0,8376,8352
28.375001,3628.381014,9632,8376,8368,0,8376,8352
28.312500,139.327312,9640,8392,8376,1,8376,8352
28.937500,139.327312,9648,8376,8384,1,8384,8352
28.937500,139.327312,9648,8360,8384,1,8384,8352
28.500002,139.327312,9656,8376,8376,1,8384,8352
28.687501,139.327312,9616,8376,8376,1,8384,8352
28.812502,139.327312,9600,8392,8376,1,8384,8352
29.312501,139.327312,9600,8392,8376,1,8384,8352
29.500000,139.327312,9616,8384,8376,1,8384,8352
29.312501,139.327312,9600,8368,8384,1,8384,8352
28.000000,139.327312,9608,8344,8384,1,8384,8352
28.687501,139.327312,9600,8344,8384,1,8384,8352
28.375001,139.327312,9592,8360,8368,0,8384,8360
28.625000,139.327312,9624,8352,8360,0,8384,8360
28.812502,139.327312,9584,8368,8352,0,8384,8352
28.937500,139.327312,9616,8360,8352,0,8384,8352
28.687501,139.327312,9616,8376,8360,0,8384,8352
29.187500,139.327312,9584,8384,8360,0,8384,8352
29.500000,139.327312,9576,8352,8368,0,8384,8352
28.937500,139.327312,9544,8328,8368,0,8384,8352
29.625001,139.327312,9568,8368,8360,0,8384,8352
29.125002,139.327312,9608,8360,8368,0,8384,8352
28.937500,139.327312,9616,8352,8360,0,8384,8352
28.500002,139.327312,9616,8352,8352,0,8384,8352
28.937500,139.327312,9608,8336,8352,0,8384,8352
28.500002,139.327312,9592,8360,8352,0,8384,8352
29.125002,139.327312,9592,8320,8352,0,8384,8352
28.812502,139.327312,9576,8328,8352,0,8384,8352
29.312501,139.327312,9584,8360,8336,0,8384,8336
29.437502,139.327312,9600,8336,8336,0,8384,8336
29.000001,139.327312,9600,8328,8336,0,8384,8336
29.000001,139.327312,9608,8320,8328,0,8384,8328
29.187500,139.327312,9616,8328,8328,0,8368,8328
29.187500,139.327312,9608,8336,8328,0,8368,8328
28.375001,139.327312,9616,8328,8328,0,8368,8328
29.437502,139.327312,9632,8312,8328,0,8368,8328
29.437502,139.327312,9616,8296,8328,0,8368,8328
28.687501,139.327312,9592,8328,8328,0,8368,8328
28.812502,139.327312,9576,8312,8328,0,8368,8328
29.437502,139.327312,9608,8272,8312,0,8368,8312
29.187500,139.327312,9600,8304,8312,0,8368,8312
29.437502,139.327312,9584,8296,8304,0,8368,8304
28.812502,139.327312,9576,8296,8304,0,8360,8304
29.687500,139.327312,9592,8304,8296,0,8352,8296
29.687500,139.327312,9608,8272,8296,0,8352,8296
28.312500,139.327312,9608,8288,8296,0,8352,8296
29.937501,139.327312,9584,8304,8296,0,8352,8296
29.187500,139.327312,9608,8296,8296,0,8352,8296
28.312500,139.327312,9584,8272,8296,0,8336,8296
28.312500,139.327312,9600,8288,8288,0,8336,8288
28.937500,139.327312,9592,8272,8288,0,8336,8288
28.375001,139.327312,9568,8272,8288,0,8328,8288
29.125002,139.327312,9592,8272,8272,0,8328,8272
29.000001,139.327312,9600,8288,8272,0,8328,8272
29.000001,139.327312,9592,8280,8272,0,8328,8272
29.125002,139.327312,9592,8272,8272,0,8328,8272
29.000001,139.327312,9576,8248,8272,0,8328,8272
29.437502,139.327312,9608,8256,8272,0,8328,8272
29.187500,139.327312,9576,8264,8272,0,8328,8272
30.000000,139.327312,9576,8272,8264,0,8312,8264
29.125002,139.327312,9576,8272,8264,0,8312,8264
29.625001,139.327312,9560,8256,8264,0,8304,8264
29.437502,139.327312,9584,8240,8264,0,8304,8264
29.437502,139.327312,9568,8216,8264,0,8296,8264
28.687501,139.327312,9544,8216,8256,0,8296,8256
29.812500,139.327312,9568,8240,8240,0,8296,8240
29.125002,139.327312,9568,8240,8240,0,8296,8240
28.812502,139.327312,9544,8240,8240,0,8296,8240
29.437502,139.327312,9536,8248,8240,0,8296,8240
29.312501,139.327312,9576,8216,8240,0,8288,8240
29.687500,139.327312,9528,8208,8240,0,8288,8240
29.625001,139.327312,9512,8240,8240,0,8288,8240
29.500000,139.327312,9544,8224,8240,0,8272,8240
29.812500,139.327312,9528,8240,8224,0,8272,8224
29.625001,139.327312,9544,8232,8224,0,8272,8224
